Tweet,Nilai,,Tidak Percaya,Percaya,,,
"Data studi di BPOM mencatat 20 dari 28 subjek atau 71,4 persen relawan uji klinik fase I virus Nusantara mengalami Kejadian Tidak Diinginkan. https://t.co/ABEs0aeILv",Tidak Percaya,,,,,,
"Perkembangan virus corona global pada Kamis (15/4/2021), termasuk laporan kasus pembekuan darah penerima vaksin J&amp;J. https://t.co/Ap8F6RWCvf",Tidak Percaya,,,,,,
"Penny mengklaim tahapan riset dan pengembangan Vaksin Nusantara belum memenuhi sejumlah standar yang ditetapkan BPOM.
-
VIDEO: Ini Alasan BPOM Belum Setujui Vaksin Nusantara https://t.co/FcUX4eqJdZ",Tidak Percaya,,,,,,
"Mantan Panglima TNI ikuti pengambilan sampel darah untuk vaksin Nusantara. 

#merahputihcom #panglimatni #sampeldarah #vaksinnusantara #vaksincovid19 
https://t.co/ULSZNOOfwO",Percaya,,,,,,
"Yuk, singkirkan ragu dan cemas.
Kepastian vaksin aman, sudah berdasarkan ijtihad para ulama.

Vaksinasi, demi kesehatan diri sendiri, dan terwujudnya kekebalan kelompok. 
Semoga kita segera terbebas dari pandemi ini. https://t.co/PWnhVD6ypr",Percaya,,,,,,
Fraksi PDIP Tidak Ikut Vaksin Nusantara di RSPAD | Publicanews Nasional https://t.co/OUS6civWi5,Tidak Percaya,,,,,,
"@KompasTV @BossTemlen Yg bisa menjamin vaksin Nusantara ya bangsa sendiri.....kyk gini kok msh bertanya!!!, emang loe bangsa apa bukankah hidup di nusantara",Tidak Percaya,,,,,,
aku suda vaksin apakah kelen sudaaaa?,Percaya,,,,,,
BPOM Menyoal Vaksin Nusantara: Produksi Tak Steril hingga Peneliti Tak Berizin â€“ Kumparan- https://t.co/hLF3jHvzPk https://t.co/FIUVnQmcmy,Tidak Percaya,,,,,,
"BPOM: 71,4 Persen Relawan Uji Vaksin Nusantara Alami Kejadian Tak Diinginkan https://t.co/KDbC0pRoG5",Tidak Percaya,,,,,,
BPOM Menyoal Vaksin Nusantara: Produksi Tak Steril hingga Peneliti Tak Berizin â€“Â Kumparan https://t.co/ELSjKhltgn,Tidak Percaya,,,,,,
"Berdasar fatwa MU dan Ijtihad para ulama vaksin ini aman dan bisa disuntikkan kepada masyarakat yang sedang berpuasa. 

Karena tidak membatalkan puasa. Yuk vaksinasi https://t.co/MHOcRhbZzc",Percaya,,,,,,
"@yunartowijaya Emang ada vaksin yang sudah di ujicoba secara klinis?
Atau kita lah kelinci percobaannya?",Tidak Percaya,,,,,,
"Dalam Fikih syafi'iyah juga dijelaskan jika Vaksin Aman saat berpuasa. Tidak membatalkan puasa atau merusak puasa kita.

Yang dapat giliran jangan ragu lagi yaa untuk vaksinasi https://t.co/dfFSx2oFrk",Percaya,,,,,,
"Oke kita bahas satu-satu ya.
Pertama, vaksin kan disuntikkan ke dalam tubuh bukan di bagian yang terbuka. Vaksin juga bukan makanan dan minuman, jadi vaksin aman dilakukan selama puasa Ramadan https://t.co/sAvEB3z7co",Percaya,,,,,,
"* Polsek Liukang Tangaya Polres Pangkep On Tweet News *

"" Ayo vaksin, lawan Covid-19 dengan Vaksinasi "".

@divisihumaspolri #polripresisi #poldasulsel https://t.co/qVDU4MJ5q8",Percaya,,,,,,
@jswngchan ngk mau suntik silikon..suntik vaksin aja gw takut,Tidak Percaya,,,,,,
Vaksinasi justru malah memperkuat imun kita karena puasa berfungsi sebagai detoksifikasi. Hal ini membuat vaksin aman saat berpuasa dan fungsinya malah lebih bekerja efektif. https://t.co/7JmJzNh2vS,Percaya,,,,,,
"MUI Jawa Timur juga memastikan jika vaksinasi di bulan puasa ini tidak batalkan puasa.
Dengan begitu jelas kan, vaksin aman, dengan landasan yang jelas https://t.co/pszbc9Z2V4",Percaya,,,,,,
"Bapak @jokowi saya bingung ttg Vaksin covid. Apakah vaksin aman atau tdk? Kenapa setelah divaksin orang meninggal? Bukannya sebelum divaksin itu dicek terlebih dahulu oleh tenaga medis? Dan orang yg mau divaksin sdh bilang memiliki byk penyakit, knp tenaga medis tdk menolak?",Tidak Percaya,,,,,,
BPOM konsisten menyatakan penelitian vaksin Nusantara tidak sesuai standar mulai dari produksinya yang tidak steril hingga peneliti tak berizin. #kumparanNEWS https://t.co/CtlC4mVG0V,Tidak Percaya,,,,,,
"Aneh..
Nyawanya pada ada berapa dah berani banget divaksin dengan barang yang tidak berizin BPOM.
Kosmetik aja bahaya kalo ga ada izin BPOM..ini vaksin loh https://t.co/RuK7IWHJ4D",Tidak Percaya,,,,,,
"Ayo jangan takut dan ragu untuk di vaksin, Karena vaksin covid-19 itu aman dan halal. https://t.co/w90sk6caOC",Percaya,,,,,,
Hari ini nyokap vaksin ke 2ðŸ‘ðŸ‘ðŸ‘,Percaya,,,,,,
"Haduh minggu depan vaksin, agak serem yaðŸ¥²",Tidak Percaya,,,,,,
"@ponxx2020papua Makin matang aja nih persiapan PON, sampe mikir vaksin ke masyarakat sekitar vanue, aku sih setuju",Percaya,,,,,,
vaksin tu juga buat jadi bahan politik. bodo punya orang,Tidak Percaya,,,,,,
@fadlizon Hehehe vaksin yg malah bikin banyk org mati itu juga melawan populasi kan yah gmana mnurut bapak?,Tidak Percaya,,,,,,
jadi kalo ada yg takut puasanya batal karena vaksin.. kasih tahu aja fatwa no. 13 (2021)dari MUI kalo disuntik vaksin aman walaupun dalam keadaan berpuasa. https://t.co/enRD47gdMJ,Percaya,,,,,,
"@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI apapun itu vaksinnya,jujur atau bohongan tetap saja rakyat harus mau divaksin.terutama bagi mereka dibawah tekanan kantor yg wajib vaksin.bagaimana cara menolaknya?",Tidak Percaya,,,,,,
@KompasTV @BossTemlen Siapa yg bs menjamin semua vaksin??!!!!,Tidak Percaya,,,,,,
"Selain di Surabaya, pemkot DKI Jakarta juga memastikan program vaksinasi Covid-19 di Jakarta tetap berjalan sesuai jadwal meskipun penerima vaksin sedang menjalankan ibadah puasa. 

Vaksin Aman menjadi hal penting ditengah banyak keraguan dari masyarakat https://t.co/0gObcFHvh0",Percaya,,,,,,
Selain adanya fatwa vaksin aman saat berpuasa (ga membatalkan puasa) ada fatwa test swab juga aman untuk yg berpuasa https://t.co/7z9g22BhZL,Percaya,,,,,,
"Dapat jadwal vaksin pas puasa Ramadan? nanti batal gak sih puasanya? Tenang aja gaes menurut fatwa MUI vaksin aman dan gak bikin puasa kalian jadi batal.

THREAD https://t.co/ga0IuMBfvX",Percaya,,,,,,
@KompasTV Emang klian bisa mnjamin keamanan vaksin China?,Tidak Percaya,,,,,,
"Vaksin aman, vaksinasi bisa dilakukan, tentunya memperhatikan kondisi kesehatan. https://t.co/sSPXnBvX8u",Percaya,,,,,,
"Hal ini diperkuat dengan dikeluarkannya Fatwa Majelis Ulama Indonesia Nomor 13 tahun 2021 yang menyatakan bahwa Vaksinasi Covid 19 tidak merusak puasa umat Islam Indonesia.

Vaksin Aman Ibadah Nyaman. https://t.co/BBQGhHlB5v",Percaya,,,,,,
Bahagia itu ktk selesai mengantar ibuk (80) yg sudah merampungkan kewajibannya dua kali vaksin #COVID19,Percaya,,,,,,
"Kasus Pembekuan Darah, Penangguhan Vaksin Johnson &amp; Johnson Berlanjut https://t.co/DghADnKsBL",Tidak Percaya,,,,,,
Pemerintah daerah diminta juga ikut mensosialisasikan hal terkait Vaksin Aman ini. Terutama mengenai ibadah puasa. Sebagai contoh Pemkot Surabaya bersama MUI setempat saat ini gencar mengadakan sosialisasi mengenai kegiatan vaksinasi di Bulan Ramadhan https://t.co/SOKB2nNRbs,Percaya,,,,,,
@BudiGSadikin Ibuk saya usia 80 alhamdulillah sudah dua kali vaksin. Tidak ada kendala dan tambah sehat lahir batin,Percaya,,,,,,
"@liputan6dotcom kalo setengah"" mending gak usah buat vaksin buat beli nasi padang aja penambah imunðŸ‘ðŸ˜‹ðŸ”¨",Tidak Percaya,,,,,,
"Sekalipun vaksinasi siang hari, ngga masalah kok.
Kan kita udah tahu persis, vaksin aman, ibadah puasa engga batal. https://t.co/WIZUUCndyC",Percaya,,,,,,
"(1/5) Uji sinovac unt fase 1 &amp; 2 sdh dilak di Tiongkok. Kita laks uji fase 3 dg 1600 rlwn pd Agt 2020. Hslnya, tk efikasi sktr 65%, di atas standard WHO 50%. BPOM sdh klrkan ijin. Tp kita ttp ragu, smp minta Pres divaksin duluan ðŸ˜… https://t.co/2gZ3oEi92w",Tidak Percaya,,,,,,
"Tetapi kemarin adikku yang sudah di vaksin smp 2 kali karena sedang tugas sama sekali tidak ada efek samping, jadi vaksin aman - aman aja",Percaya,,,,,,
"Kepastian vaksin aman ini, untuk menghilangkan keraguan masyarakat.
Dengan vaksinasi yang semakin merata, kita berharap herd immunity lekas tercapai.
Pastinya semua pengin kondisi normal kembali",Percaya,,,,,,
"Nah ini bahasan MUN mingdep, ada urgensi utk bikin vaksin Covid cm ternyata keamanan dalam pembuatannya tidak terjamin

Lah ngaco https://t.co/h5PEGWm0A6",Tidak Percaya,,,,,,
"Pro Kontra Vaksin Nusantara, Epidemiolog Minta Pemerintah Stop Lakukan Uji Klinis https://t.co/0Vh9DFHzAA",Tidak Percaya,,,,,,
"""ini amit amit ya, kalau kena covid--"" apa itu vaksin pfizer? kita mah pake vaksin amit amit",Tidak Percaya,,,,,,
@f4kr0ls00d Dua orang anak saya  frontliners sudah lengkap vaksin 2 dos (Pfizer). Alhamdulillah they're fine.,Percaya,,,,,,
"[ INSHARE ]

Hasil Analisis Terbaru Vaksin COVID-19 Pfizer Efektif 100%

Pfizer, BioNTech Menegaskan Khasiat Tinggi, Tidak Ada Masalah Keamanan Serius dalam Analisis Topline Terbaru Vaksin COVID-19. https://t.co/cirNakYpnW",Percaya,,,,,,
"@FKadrun Mending dibebasin aja orang bisa milih vaksin berbayar tp merk lain yg sudah di akui WHO. Kayak moderna,pfizer,astrazeneca,sputnik,johnson,dll. Orang takut vaksin kebanyakan krn takut vaksin cina,takut jd kelinci percobaan",Tidak Percaya,,,,,,
"@SilumanRi Vaksin buatan cina? Semua vaksin covid19 punya kadungan zat yg berbahaya apalagi Pfizer,Moderna yang otak atik DNA atau Astra Zeneca yg telah di larang di belasan negara",Tidak Percaya,,,,,,
"@HeyyFarahhhh Jd pengen divaksin cepet2, mumpung sinovac masih dipake

Kalo belakangan, gw bisa aja dpt pfizer atau AstraZeneca",Percaya,,,,,,
"@Khairykj YB, harap jangan bawa masuk vaksin Astra Zeneca, Pfizer &amp; Sinovac ngam",Tidak Percaya,,,,,,
"Kalau baca beritanya, efek samping pembekuan darah ditemukan di 86 org pd AstraZeneca (sebagian kena ke wanita di bwh 60 thn), 35 org pd Pfizer, dan 5 org pd Moderna. https://t.co/auvrQb18QW",Tidak Percaya,,,,,,
Kok jadi ngeri ya AstraZeneca ini. Mending CoronaVac atau Pfizer.,Tidak Percaya,,,,,,
"Hasil uji klinis 6 bulan #vaksinCorona #Pfizer ke 46 ribu sukarelawan tunjukkan 91% efektif #lawanCovid19. Sudah memenuhi syarat FDA untuk persetujuan penuh! #pakaimasker #jagajarak #cucitangan

https://t.co/CSfNnX5UFp",Percaya,,,,,,
"Derap Langkah Membangun
Vaksin Covid-19 Pfizer-BioNTech dan Moderna diklaim aman dan efektif pada ibu hamil dan menyusui. Berikut hasil studi yang menyatakannya. https://t.co/9bNqnTYirF",Percaya,,,,,,
"Cuma aku mau nanya ke dokter aja nanti siang bagusnya yg mana. Gak ada yg tau apa reaksinya kalau vaksin pertama astrazeneca dan yg keduanya Pfizer-Biontech atau Moderna.

Apa kami juga bakal divaksin yg ketiga kalinya? Gak ada yg tau juga ðŸ˜…ðŸ˜…",Tidak Percaya,,,,,,
"@ferizandra @SridianaEva Untuk perjalanan ke Eropa atau USA harus menyertakan sertifikat vaksin yg disetujui oleh WHO dan EMA (European Medical Agency). 

Jenis vaksin yang disetujui EMA : Pfizer-BioNTech, COVID-19 Vaccine Moderna, dan COVID-19 Vaccine AstraZeneca.",Percaya,,,,,,
"Apakah vaksin Astra zeneca, pfizer, moderna sinovac dll sdh melakukan uji klinis efek sampingnya ?
Bahkan mrk menolak digugat jk ada cacat/kematian akibat vaksin.
Itu artinya rakyat Indonesia dijadikan kelinci percobaan. https://t.co/z1tza2AeDb",Tidak Percaya,,,,,,
"Moderna Klaim Vaksin Covid-19 Buatannya Masih Beri Perlindungan Kuat Selama 6 Bulan: Perusahaan juga mulai menguji vaksin versi baru yang menargetkan varian baru virus corona yang mengkhawatirkan, yang mulanya teridentifikasi di Afrika Selatan dan yangâ€¦ https://t.co/mol8bjee3I",Percaya,,,,,,
Moderna Klaim Vaksinnya Beri Perlindungan Kuat Enam Bulan https://t.co/p9BvVXGrJd https://t.co/5e8pyGFrRq,Percaya,,,,,,
Vaksin Moderna Punya Perlindungan Kuat hingga 6 Bulan https://t.co/6qIk2SOzsQ via @harianbatampos,Percaya,,,,,,
Moderna: Perlindungan vaksin COVID kami masih kuat sampai 6 bulan - @antarakalbar  ANTARA News Kalimantan Barat https://t.co/BW5YCUwLwg,Percaya,,,,,,
Vaksin Moderna Beri Perlindungan dari Covid-19 hingga 6Â Bulan https://t.co/Oye4qG8Hqb https://t.co/FYHGjZhTw8,Percaya,,,,,,
Vaksin Moderna Beri Perlindungan dari Covid-19 hingga 6Â Bulan https://t.co/Ngg3p8VLlc https://t.co/q12QvTiFBu,Percaya,,,,,,
Vaksin Moderna Beri Perlindungan dari Covid-19 hingga 6 Bulan https://t.co/wFPbECivSC,Percaya,,,,,,
"Iya ya bukan keputusan kolektif dpr,paling geng nya si gemblung saleh daulayðŸ¤£,vaksin apaan uji klinis aja kaga lulus,paling banter dia impor vaksin luar,pfizer atau moderna,tapi klaim2suntik vaksin nusantara,ðŸ¤£manusia2 shinting @drdickybudiman @sofiesyarief @tvOneNews @KompasTV https://t.co/lgCEcOEcFx",Tidak Percaya,,,,,,
Moderna klaim perlindungan vaksin COVID masih kuat sampai enam bulan - ANTARA News Jawa Barat https://t.co/h2GUjlErBF,Percaya,,,,,,
Moderna Klaim Bahwa Vaksin Covid-19 Buatannya Melindungi Hingga 6 Bulan https://t.co/ndiRlhvJCz,Percaya,,,,,,
Moderna: Perlindungan Vaksin Covid-19 Kami Kuat Sampai Enam Bulan https://t.co/8YzYhhHMsk,Percaya,,,,,,
Moderna: Perlindungan Vaksin Covid-19 Kami Kuat Sampai Enam Bulan #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/fcSvG1rYxe,Percaya,,,,,,
"Setelah Dosis Kedua, Perlindungan Vaksin Covid-19 Moderna Tahan 6 Bulan https://t.co/cIA7drUCHi",Percaya,,,,,,
@null Moderna: Perlindungan Vaksin Covid-19 Kami Kuat Sampai Enam Bulan Moderna mengkl  https://t.co/DsVh9YDdoy,Percaya,,,,,,
"Pada Maret lalu, Moderna mulai menguji tiga pendekatan untuk memperkuat vaksin agar melindungi terhadap varian baru.  https://t.co/wOKa251oBi",Percaya,,,,,,
@null Vaksin Moderna masih beri perlindungan kuat selepas enam bulan Kadar keberkesana  https://t.co/eSmvjl4yUm,Percaya,,,,,,
Vaksin Moderna masih beri perlindungan kuat selepas enamÂ bulan https://t.co/xxydHvs4zR,Percaya,,,,,,
"Moderna mengklaim vaksin COVID-19 buatannya menunjukkan perlindungan yang kuat hingga enam bulan setelah pemberian dosis kedua.
https://t.co/oFvOFqbOJR",Percaya,,,,,,
Vaksin COVID-19 Moderna Berikan Proteksi Selama 6Â Bulan https://t.co/FeA62kzQ2Z,Percaya,,,,,,
Vaksin COVID-19 Moderna Berikan Proteksi Selama 6Â Bulan https://t.co/EMVFCJ4NAm,Percaya,,,,,,
"Tahukah Anda teknologi mRNA diteliti oleh imigran #AS yg berasal dari Hungaria, Katalin Kariko sejak 1990an? Vaksin mRNA dari Pfizer dan Moderna sudah diteliti puluhan tahun dan terbukti aman! #lawanCovid19 #pakaimasker #jagajarak #cucitangan

https://t.co/kaQHQ2rkpe",Percaya,,,,,,
@dr_koko28 Arab Saudi memiliki standar kualitas tersendiri. Yang dipakai Arab Saudi adalah vaksin Pfizer dan Moderna yang sudah diakui WHO.,Percaya,,,,,,
Vaksin Moderna dan Pfizer menjadi 2 vaksin yang dalam waktu dekat akan dipakai di Indonesia. #kumparanNews https://t.co/8RqdeWYdWd,Percaya,,,,,,
"@PutraErlangga_ Arab Saudi pakainya 3 vaksin buat rakyatnya. Pfizer, Moderna dan Astrazaneca yang sudah terdaftar di WHO.",Percaya,,,,,,
@sillysampi Kalo uda trlanjur divaksin merek china terus bs ga ambil vaksin lg merek johnson n johnson atau moderna?,Percaya,,,,,,
"@kumparan KURANG efektif gaes, BUKAN TIDAK efektif. Udah baca perbandingan tingkat keefektifan beberapa merk vaksin (Pfizer, Sinovac, Moderna, dll)? Klo dr perbandingan yg aku bc sih mmg PALING efektif itu ya Pfizer, tp harga nya jg luar biasa..",Percaya,,,,,,
@siwonjowo iyaaa katanya gtu..kantorku pake moderna..aman ga sih? Hahaha,Tidak Percaya,,,,,,
@Isfy_fav @zarazettirazr @KompasTV coy @Isfy_fav di negara produsennya juga awalnya vaksin sinovac dan vaksin astrazeneca ada fase2nya kan dan akhirnya boleh ? lalu knpa vaksin nusantara seperti 'dihalang2i' sejak awal ? lagipula mendingan ga usah divaksin aja deh apapun merknya,Tidak Percaya,,,,,,
"First dose of Sinovac vaccine done ðŸ¥°

Thank you, Lord ðŸ™ https://t.co/UUAXSPU9Gu",Percaya,,,,,,
@KompasTV siapa bisa menjamin vaksin nusantara ? lalu siapa yg bisa menjamin vaksin sinovac ? yg bisa menjamin vaksin astrazeneca ? mendingan ga usah divaksin deh apapun namanya,Tidak Percaya,,,,,,
"@_retnodewi Masalah karya anak bangsa atau dst itu politik dan bisnis kata aku. Dimana negara kita sendiri kita harus akui ini pandemi dijadiin bisnis sejak awal. Jadi yhaaaaa gitu deh lol.

Sinovac efikasi rendah resiko rendah
Astra efikasi tinggi resiko tinggi",Tidak Percaya,,,,,,
@cacobocil @drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI pendukung sinovac sm zeneca marah nih ye @cacobocil apapun jenis vaksinnya mendingan tidak usah divaksin,Tidak Percaya,,,,,,
@_retnodewi Tapi kalo baca utas itu.. sama sinovac ga ada bedanya juga. Perlu diingat juga sih kak sinovac dan astra setahu aku juga belom ada izin edar bpom adanya izin pemakaian darurat. Astra faktanya di beberapa negara diberhentikan. Yg baru bgt di Denmark diberhentikan.,Tidak Percaya,,,,,,
@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI pembohongan publik ? kalo vaksin sinovac dan zeneca tidak bermasalah ya ? tapi tetap aja sih apapun vaksinnya mendingan tidak perlu divaksin,Tidak Percaya,,,,,,
@Mi73Hel @TeddyGusnaidi @PakAhmadUtomo dapet info katanya di indonesia fasilitas uji vaksin belum memadai? terus pas uji vaksin sinovac dan satunya lagi gimana ntuh? jujur aku sbg rakyat awam bingung ðŸ˜³,Tidak Percaya,,,,,,
"@yaya__nh Iyaaaa. Gue tadi liat random thread dan banyak yang: saya mau ikut uji klinis demi negara, jangan dihalang2i dong karya bangsa - pasti lebih baik dari Sinovac. Naonnnn.",Percaya,,,,,,
"@katzen_jammer Anehnya...terhadap Vaksin Sinovac, Pfizer, AztraZeneca, Moderna bahkan Johnson &amp; Johnson tidak ada yg ""berani"" ajukan rentetan pertanyaan2 yg sama?!? ðŸ§ðŸ¤”ðŸ™„",Tidak Percaya,,,,,,
"@zarazettirazr @KompasTV BPOM menjamin.
Plus Sinovac dan Astra sudah ada jurnal medis yang bisa diakses ...",Percaya,,,,,,
"Terlepas dari desas desus efektifitas vaksin sinovac yang katanya begitu begini, ya akhirnya memang harus ikut divaksinasi.
ðŸ’‰ https://t.co/Vmzxapbp2c",Percaya,,,,,,
"Jika 1 Vaksin agent nya bs cuan bersih 20rb aja, maka 1 juta Vaksin sdh untung 20 M... 

jika penduduk Indonesia adalah 270,2 juta jiwa, maka cuan sang Agent 5.4 T... GILAKKKK

#COVID19Vaccine 
#Sinovac",Tidak Percaya,,,,,,
"Polemik Vaksin ternyata diduga terkait ""Politik Dagang"" Vaksin... 

Berebutlah kue"" tuk nyupply Vaksin tsb.

#VaksinUntukKita 
#CovidVaccine 
#Sinovac",Tidak Percaya,,,,,,
"Jika Vaksin Sinovac blm di approved by WHO, apakah bertanda kita sedang di jadikan Kelinci Percobaan nya Vaksin?

#COVID19Vaccine 
#Sinovac",Tidak Percaya,,,,,,
"Ada yang tahu ngga kalau Vaksin Sinovac itu belum di approved oleh WHO?

@BudiGSadikin 
@KemenkesRI 
@jokowi 
@FiersaBesari 
@satgascovid19id https://t.co/4kUU1h4KvX",Tidak Percaya,,,,,,
"Bodo amat lah. Vaksin nusantara kek, vaksin Sinovac lah, rakyat cuma bisa nerima doang. Mau itu hsil poltik atau hasil uji ilmiah. Gausah gaduh. Yang bela pak Terawan dapet apa? Yang ngritik dapet apa?",Tidak Percaya,,,,,,
"Kamis, 15 April 2021 Bripka Lukman S. selaku Bhabinkamtibmas Ds. Gatak Melaksanakan pengamanan dan monitoring di Gd. Graha Karya Utama Ds. Gatak dilaksanakan penyuntikan Vaksin Covid 19  Sinovac Tahap II kepada para Lansia Ds. Gatak yang berjumlah 100 orang. https://t.co/rOYpF1BLqL",Percaya,,,,,,
@BBCIndonesia Artinya Sinovac masih lebih aman ya dibandingkan AstraZeneca dan Johnson &amp; Johnson ðŸ˜ðŸ˜„,Percaya,,,,,,
"@MrsRachelIn Kalau bapak yang satu ini pasti politik dan bisnis lah.... ðŸ˜‰
Wong beliau sudah di vaksin dengan sinovac... 
Waktu datang ke RSPAD, beliau hanya diambil sample darah, bukan di vaksin...",Tidak Percaya,,,,,,
"@na_dirs Ya udah mending Import vaksin dari Pfizer , moderna, sputnik , Johnson &amp; Johnson,  Sinovac, Sinopharm, AstraZeneca dari luar  ajalah ... lebih nyaman .. 
ðŸ¤£ðŸ˜„ðŸ˜",Percaya,,,,,,
Terima kasih sudah memilih saya menjadi sukarelawan uji klinis vaksin Sinovac. Terima kasih para tenaga ahli dan dokterÂ² yg baiiik dan ramah bgt ðŸ˜ŠðŸ˜Š semoga semuanya sehatÂ² &amp; semoga pandemi ini segera selesai ðŸ™ https://t.co/Ky3KStctzu,Percaya,,,,,,
"@Aaibadz @yunartowijaya Bukannya waras, takut sinovac ke ganggu, mereka kan yg paling nasionalisme se Indonesia,tapi kalo urusan duit nasionalisme minggir dulu...",Tidak Percaya,,,,,,
Vaksin pertama done. Selamat bergabung ditubuhq sinovac ðŸ˜Œ,Percaya,,,,,,
"@KompasTV @pendekar58 Siapa juga yg bisa menjamin vaksin Sinovac, pfizer, astrazaneka, dll tidak menimbulkan masalah...",Tidak Percaya,,,,,,
"Tentu program vaksinasi corona sinovac merupakan salah satu ikhtiar manusia untuk mencegah penularan Covid-19. Namun tetap ini hanya upaya manusia sedangkan yang menentukan segalanya adalah Allah SWT
#BuletinTasamuh
#Covid19
#VaksinasiCovid https://t.co/Pv8qGJwfw2",Percaya,,,,,,
"@___Mr_J03n4____ @ZAINALA59664337 Semua vaksin mempunyai efek hampir sama. Malah Astrazeneca byk menggigil panas dingin, pusing, mual2, muntah tp hanya bersifat sementara, sy memakai sinovac hanya otot pegal2 sebentar, agak pusing dan demam... Tp semua hya reaksi sementara, juga tergantung kondisi fisik masing2",Percaya,,,,,,
"@schokocatcher Mgkn kalau pilihannya dua itu kayaknya yg resikonya lbh minim itu sinovac ya. Keluargaku pake itu jg kmrn dan alhamdulillah baik2 aja, cm pegel dibagian disuntik doang.
Bisa milih gak kalau di Indonesia misalkan lbh prefer sinovac gitu?",Percaya,,,,,,
@drpriono1 @agussari @BPOM_RI Berati vaksin sinovac ama astra ga rekomended,Tidak Percaya,,,,,,
"Sinovac sampai sekarang belum dapat persetujuan FDA Amerika, gak heboh tuuuh.

Dikutip dari Reuters lhoo - https://t.co/fazzcHtU2r https://t.co/9BEbGyt7Jl",Tidak Percaya,,,,,,
"TEGAL, https://t.co/4vRIv28sG4 - Proses vaksinasi Covid-19 jenis Sinovac di Kota Tegal tetap dilaksanakan siang hari selama Bulan Ramadan. Hal itu dilakukan, mengingat tidak adanya larangan dari Majelis Ulama Indonesia (MUI). https://t.co/aXFbkDjBKg",Percaya,,,,,,
Messi beli vaksin Sinovac btw https://t.co/ryOeHD9zUx,Percaya,,,,,,
"Cari alasan tu yang ilmiah dikitlah @BPOM_RI 
Memangnya Vaksin Sinovac itu bahannya dari dalam negeri semua? 
https://t.co/hJnbCfTkmc",Tidak Percaya,,,,,,
"Ada yang baru tau vaksin sinovac belum tersetifikasi Who? ðŸ™„
#onproseskatanya",Tidak Percaya,,,,,,
"So far so good ini Sinovac, paling kemeng doang tangan.

Yuk mari menanti tahap 2 vaksin dengan ttp menjaga kesehatan as always.",Percaya,,,,,,
"@CNNIndonesia yg divaksin pakai sinovac dll juga ada yg  nyeri/demam.

malah yg tetap kena covid &amp; meninggal juga ada ðŸ™ˆ

jadi ya sama saja semua vaksin, ga ada yg sempurna",Tidak Percaya,,,,,,
@allhlr @CNNIndonesia Ya kalo emang terbukti ampuh kenapa tidak. Daripada Sinovac yg gak jelas. Di Arab Saudi gak diakui. Terakhir dari China nya sendiri yg ngaku Sinovac kurang efektif. Udah banyak yg beli baru ngaku. ðŸ˜‚,Tidak Percaya,,,,,,
"Vaksin Sinovac DITOLAK Lembaga Kesehatan Dunia WHO Dan Negara Arab Saudi, Bagaimana Nasib Jamaah Haji Indonesia ? https://t.co/we92cjikzi https://t.co/spJHCsmzwn",Tidak Percaya,,,,,,
"vaksin nusantara itu basically esemka. avanza/xenia/agya/ayla bisa achieve tkdn 94% meskipun badge merek jepang, esemka yang ""nasional"" cuma 60%.

same goes with ""chinese"" sinovac yang part of the process udah di biofarma bandung vs ""nusantara"" but imported from us",Tidak Percaya,,,,,,
"Amankan Pelaksanaan Vaksin, Babinsa Koramil 21/Palakka Dampingi Pensiunan TNI AD Suntik Vaksin Sinovac https://t.co/FLT4Av3PMD",Percaya,,,,,,
"Dikasih gratispun gw ogah. Yg sinovac yg udh ada izin BPOM aja gw masih baca jurnal2 lab nya kok, walaupun gw ga ngerti tapi at least gw tau barang apa yg bakal dimasukin ke darah gw. https://t.co/19Rwvftr71",Tidak Percaya,,,,,,
@d_jo_han @zarazettirazr @KompasTV Seriusan di suntik sinovac jadi meninggal???,Tidak Percaya,,,,,,
Ahli Barat Puji Vaksin Sinovac Manjur 100 Persen Tekan AngkaÂ Kematian https://t.co/IY4C9Fv8sc,Percaya,,,,,,
Ahli Barat Puji Vaksin Sinovac Manjur 100 Persen Tekan Angka Kematian https://t.co/fzKqcqgPbV,Percaya,,,,,,
"BPOM sudah mempertanyakan uji klinisnya yg belum sesuai dengan kaidah penelitian. 
Ee.... Orang awam penelitian kesehatan kaya anggota DPR dengan lugunya mendukung vaksin Nusantara. Padahal mereka telah divaksin Sinovac. Apa bisa diukur tingkat efektivitasnya??",Tidak Percaya,,,,,,
"Selamat deh, kita nakes dah duluan dikerjain Sinovac ternyata kurang efektif https://t.co/sa6Ccalztr",Tidak Percaya,,,,,,
"ngadiÂ² aja emang ini anggota DPR, udah divaksin kok ya malah jadi objek tes vaksin Nusantara. proyekannya siapa sih ini https://t.co/dHDXSYQqtt",Tidak Percaya,,,,,,
"&gt; habis ngingetin ortu

""Mah, Pak kalo nanti kebagian vaksinasi terus vaksinnya vaksin Nusantara jangan mau, bermasalah dari uji2 percobaannya,  ga sesuai hukum dan etik. Mending merk lain yg udah ada hasil percobaannnya"".",Tidak Percaya,,,,,,
