Tweet,Nilai,,,
"@ninikwafiroh Mantap. Luar Biasa.
Kita Dukung dan DOA-kan agar Vaksin Nusantara Menjadi Vaksin Yang Mengalahkan CoVID-19; semoga Dunia memakai metode tersebut. Amin. 🙏🏻",Percaya,,,
Sekarang prabowo subianto pura2 mendukung vaksin Nusantara setelah memerintahkan kompas tv berkata tersedianya vaksin tinggal 5 hari. Prabowo subianto gak mau sukses program vaksinasi nasional. Sekarang dia main media massa lagi utk ganti menteri.,,,,
"vaksin nusantara serem bgt, semoga udahan dulu coba2nya deh",Tidak Percaya,,,
"Oh ya Vaksin Nusantara tak lewati uji praklinis kepada hewan. 

Karena itu, BPOM belum berani memberi izin untuk memulai uji klinis ke manusia.🤭",Tidak Percaya,,,
"klean katanya pada benci ama kelakuan  anggota dewan , giliran mereka vaksin pake vaksin nusantara yg belom tuntas kok malah protes juga... harusnya biarin aja kan risiko di mereka...

jadi klean benci apa cinta sih...

hahahahaha",,,,
"Vaksin Nusantara Maksa Lanjut Ke Fase II, Prof. Beri: Relawannya Pun DPR, Ini Benar-benar Ganjil!
https://t.co/PGtp6RM6EM",Tidak Percaya,,,
"Masalah Vaksin Nusantara Pak Presiden Jokowi Minta Ikuti Kaidah Saintik.

Sementara Kepala (BPOM) Penny Lukito menyatakan vaksin Nusantara itu tidak memenuhi kaidah klinis.

Jadi sekarang mau ikuti Pak Presiden atau Ikuti Pak Terawan???
https://t.co/pfmptPp7MW",,,,
"Ketua Satgas IDI pertanyakan uji klinis vaksin Nusantara tanpa persetujuan BPOM #LengkapCepatBeritanya
https://t.co/AgE8RobuZO",,,,
Adian Napitupulu menjadi salah satu relawan Vaksin Nusantara. https://t.co/AT9v7gCtxa,Percaya,,,
Seluruh kaidah ilmiah harus diikuti sesuai dengan standar Organisasi Kesehatan Dunia  https://t.co/q39C9ilxg7,,,,
Pernyataan Wiku menyusul sejumlah anggota Komisi IX DPR disuntik vaksin Nusantara di Rumah Sakit Pusat Angkatan Darat Gatot Soebroto hari ini. https://t.co/70UD5aMCkJ,,,,
Ketua Fraksi PAN: Minat terhadap Vaksin Nusantara Ternyata Sangat Tinggi https://t.co/MJMG9gaWzg https://t.co/9gRuCiqaU3,Percaya,,,
"Masih Rahasia, Tim Peneliti Enggan Ungkap Pihak Pengawas Vaksin Nusantara
https://t.co/BwBRW1uepQ",,,,
"Ketika Sejumlah Tokoh Jadi Relawan Uji Klinis Fase II Vaksin Nusantara, Ini Penjelasan BPOM
 
https://t.co/SgWBAoVby7 via @tribunnews",,,,
"Jadi Relawan, Anggota DPR Dukung Vaksin Nusantara https://t.co/XvOoQWznkt https://t.co/ESt3VP5h6Q",Percaya,,,
"Tidak Janjian, Anggota DPR Hingga Mantan Panglima TNI Ambil Sampel Darah Untuk Vaksin Nusantara https://t.co/DB5OZWQRQH",Percaya,,,
"Ada Sedikit Bangga sih....Spt Aburizal Bakrie, Gatot &amp; Sejumlah anggota DPR ikut mendukung Vaksin Nusantara

Asal jgn pakai Vaksin Nusantara sebagai alat utk pansos politik 

Klo Gatot sih..sy curigai ikut vaksin Nusantara..demi menaikkan Elektabilitas Capres 2024 https://t.co/glT0SLBwwk",,,,
@Penyuka_ombak @bwarmed Daftar nya dimana ya untuk Vaksin Nusantara?,,,,
"Vaksin Nusantara Maksa Lanjut Ke Fase II, Prof. Beri: Relawannya Pun DPR, Ini Benar-benar Ganjil! https://t.co/tbX5707mkm",Tidak Percaya,,,
@kukuk4kikuk4ku @ProfesorZubairi Mohon dikoreksi jika sy salah. Kaka tau kenapa vaksin nusantara ini di gadang2?? Karna katanya vaksin sinovac habis. Lah yg ga kebagian sinovac digadang dikasih vaksin nusantara ini. Ini memang hal rumit yg perlu diketahui dikit² sih.,,,,
Wah kacau vaksin nusantara,Tidak Percaya,,,
Apa sih kemampuan bpom yg setara idi kacung ? Tergantung setoran semuanya ! https://t.co/sQsUivUWTK,,,,
"Vaksin Nusantara besutan dr Terawan menuai pro kontra. Mulai dari dihentikan sementara hingga tetap lanjut fase II meski tak disetujui BPOM, ini awal mulanya. https://t.co/7wX4MN4TO1",,,,
@Penyuka_ombak Vaksin Nusantara goal...gk ada lg monopoly vaksin...krn skli vaksin selamanya...gk msti berulang x divaksin,,,,
"Vaksin Nusantara Bisa Lanjut Uji Klinis Tahap II, Asalkan... https://t.co/aOlbN0Evkk",,,,
BPOM Minta Penelitian Vaksin Nusantara Diulang dari PreKlinis https://t.co/uWGz9OKo1f,,,,
"Peneliti Jelaskan Vaksin Nusantara Butuh Sampel Darah Penerima: ""Memang vaksin lain tidak ada yang diambil darah, jadi ini bedanya. Karena vaksin ini diambil dari sel tubuh kita sendiri, kemudian sel darah putih kita biarkan selama lima hari dulu,"" https://t.co/m6VLd7rmms",,,,
Legislator Sebut Komisi IX Tak Pernah Bersepakat Soal Vaksin Nusantara https://t.co/s09gnyxCeo,Tidak Percaya,,,
Semua tahapan uji klinis harus dilakukan dan memperbaiki jika belum penuhi syarat. https://t.co/RWoARmKfHh,,,,
Sejumlah anggota DPR terbelah soal Vaksin Nusantara yang digelar di RSPAD Jakarta.  #vaksinnusantara https://t.co/UuHkUHy4rE,,,,
BPOM: Belum Ada Izin Uji Klinik Fase II Vaksin Nusantara https://t.co/PvqBO4dMSr,Tidak Percaya,,,
"Berita dari @kumparan mengenai vaksin Nusantara

Di gambar ke-2 sampe ""gatal"" ditulis dua kali, wkwk gatel banget kayanya https://t.co/g3hHXckeDI",,,,
IDI Nilai Ganjil Anggota DPR Suntik Vaksin Nusantara https://t.co/usYfbolN1s,Tidak Percaya,,,
@tirta_hudhi Vaksin nusantara apalgi ini dok??,,,,
"Asyiknya baca berita Vaksin Nusantara. Betapa KTD, ampe grade 3 pun, uji klinis dua teteup landjoet.",,,,
"Ketua Fraksi PAN: Vaksinasi Vaksin Nusantara Tak Langgar Ketentuan Perundangan. @KemenkesRI 
https://t.co/YEdhxOYkHG",Percaya,,,
@kennol61 Tapi sebenarnya kan perlu dukungan dari lembaga terkait untuk proses pengujian klinis  agar vaksin nusantara pun nantinya juga layak utk mendapatkan ijin edar... 🤔🤔,,,,
"Temuan BPOM Vaksin Nusantara Tak Steril, Satgas Sebut Harus Sesuai Standar WHO: Merespons temuan tersebut, juru bicara Satuan Tugas Penanganan Covid-19, Wiku Bakti Bawono Adisasmito mengatakan pemerintah ingin memastikan efektivitas, keamanan dan… https://t.co/QwECZQ6iog",,,,
Anggota DPR RI Sari Yuliati : Bagus-bagus saja sikap kritis terhadap Vaksin Nusantara selama untuk kebaikan.,,,,
Anggota DPR RI Sari Yuliati: Semoga Vaksin Nusantara menjadi solusi permasalahan yg dihadapi bangsa ini dan juga dunia.,Percaya,,,
Saya mendapatkan penjelasan utuh terkait vaksin Nusantara ini https://t.co/XmSFhFEefc,,,,
Pimpinan DPR Tegaskan Dukung Produksi Vaksin Nusantara Terawan https://t.co/rlOj0okjTn,Percaya,,,
"Semua masih debatin

- vaksin nusantara -
Percuma bang asli. Kita bicara sisi kesehatan.
Mreka bicara sisi politik

Lelah ane bang. Itu alesan ane 2 bulan trakhir lebh mengadakan tanya jawab bareng netizen mau soal covid / non covid

Sesuatu  yg sring saya lakukan di 2019",,,,
"Gak mau distigma paling Nasionalis?

https://t.co/GuN9jfwPUm",,,,
Vaksin nusantara creepy bgt demi alek,Tidak Percaya,,,
"Sejumlah pimpinan dan anggota DPR RI hari ini (14/4) menjadi relawan uji klinis Vaksin Nusantara fase 2 di RSPAD Gatot Subroto. Apa latar belakangnya? 

TALK: Anggota DPR RI Sari Yuliati. 

Streaming &gt;&gt; https://t.co/EN7FkCklP5 https://t.co/PLUX81iLZc",,,,
"#VIDEOBERITA

40 Anggota DPR Diambil Sampel Darahnya Untuk Proses Riset Vaksin Nusantara https://t.co/l3FLwDcb4P via @holopiscom

#VaksinasiNasional #VaksinNusantara #holopiscom",Percaya,,,
Jika vaksin nusantara berhasil  maka Bpom nya pantas dibubarkan,,,,
"Setelah peralatan vaksin nusantara di bawa ke rspad, trus gimana nasib orang2 awam yg ingin dan lebih percaya dengan vaksin nusantara??? 
Apa mungkin mereka harus ke rspad???  Saya pun lebih berharap dapat vaksin nusantara

@jokowi",Percaya,,,
Pendukungnya Vaksin Nusantara bakal kicep kalo baca berita ini. Lagian main2 sama kesehatan orang dah,,,,
"Mamam noh Vaksin Nusantara. Lagian kok udah bisa uji trial ke relawan dah?

https://t.co/XkLNcMWqKy",Tidak Percaya,,,
Ketua Fraksi PAN DPR RI Divaksin Dengan Vaksin Nusantara - https://t.co/LoyxFp0873,Percaya,,,
"Ketua F-PAN DPR RI ungkap alasan ikut Vaksin Nusantara

https://t.co/wShfnstwnX",Percaya,,,
Alasan Ketua Fraksi PAN Ikut Disuntik Vaksin Nusantara https://t.co/UHbskh9aPR,Percaya,,,
"Testimoni Anggota DPR Pilih Disuntik Vaksin Nusantara
https://t.co/QhllJOr3yE",,,,
"Disuntik Vaksin Nusantara, Ketua Fraksi PAN: Tidak Ada Muatan Politik | Nasional - https://t.co/fmADUDt7yc https://t.co/aMFLw6zZo0",Percaya,,,
"@drpriono1 @tirta_hudhi @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI Makanya itu indonesia harus beli sinovac, moderna, pfizer, astrazeneca dll yang juga ga memenuhi kaidah klinis dan uji klinis

Mari kita import vaksin karena fee nya lumayan, persetan dgn vaksin merah putih atau vaksin nusantara

Buat standard yg tgg untuk vaksin dalam negri 🤣🤣",,,,
"@mas_prasetiyo Ini yg gw maksud,
Gw sih bkn penggemar vaksin covid apapun tp lucu denger pakar IDI level prof mengkritik vaksin nusantara tp mengangungkan Pfizer, tutup telinga sm mata dy soal pfizer? 😂
Smua vaksin covid cepat saji, apa yg mo diharap kalo syarat balik normal adlh vaksin 😂",,,,
kok twitter ga ramein vaksin nusantara sih. malah ramein uu ite. kampret.,,,,
@Terawan_cosplay  boleh dong  dapat vaksin Nusantara Dok. Disuntik vaksin Nusantara.  Siappp,Percaya,,,
"16.33 #BeritaSONORA - Anggota DPR Ramai-Ramai Jalani Pengambilan Sampel Darah untuk Vaksin Nusantara https://t.co/pAAeX1PjMZ https://t.co/pekT8NSr2g
via @KompasTV",,,,
"@TirtoID Eaaaaa.. Ada yg kebakaran Jembut
https://t.co/xh1pJmLf7j",,,,
"Soal Vaksin Nusantara, Ketua IDI: Boleh Digunakan Kalau Ada Izin BPOM https://t.co/jnvtehrst3",,,,
"Legislator PDIP Kompak Tak Mau Disuntik Vaksin Nusantara
https://t.co/RpPjV9LuR0",Tidak Percaya,,,
Ada vaksin nusantara ada vaksin merah putih. Bingung ini vaksin yg benar ya mana versi pemerintah?,,,,
"Data Studi Klinik Fase 1 Vaksin Nusantara: 71,4% Subjek Alami Kejadian Tak Diinginkan: Kejadian tidak diinginkan yang dimaksud yakni nyeri lokal, nyeri otot, nyeri sendi dan nyeri kepala. Kemudian penebalan, kemerahan, gatal, ptechiae, lemas, mual,… https://t.co/Ckhete3qYa",,,,
@KompasTV DASAR idi KACUNG. Memangnya idi bisa menjamin ? Kalau mau setoran dari Putra Bangsa Vaksin Nusantara ya ngobrol dong. Mudah2an diberi pelor jidatmu.,,,,
Peneliti mengungkapkan proses fase 2 uji klinis ini juga diawasi oleh pihak ketiga. https://t.co/zAEaB5M36j,,,,
"Ketua Harian DPP Partai Gerindra itu mengatakan, hari ini ia bersama sejumlah anggota DPR Komisi IX telah menjadi relawan Vaksin Nusantara. https://t.co/OD8JR2ChaX",Percaya,,,
"Sudah Divaksinasi, Anggota DPR Ikut Lagi Vaksin Nusantara Terawan - https://t.co/4YTsjMQ7cT https://t.co/GjJXPmaYtO",,,,
"Mereka (DPR) sudah dapat vaksin terlebih dahulu, terus sekarang rame2 minta divaksin Nusantara. Kan lucu, karo berdalih ""bermanfaat"" ya kan mereka sudah divaksin terlebih dahulu dgn vaksin lain. Toh vaksin Nusantara belum dapet izin dari BPOM. JANGAN terobos aturan klinis!!",,,,
"Sudahlah

71% Relawan Vaksin Nusantara Alami Kejadian Tak Diinginkan, 6 Orang Gejala Berat | kumparan | LINE TODAY https://t.co/Ob7IVXnkg9 #LINETODAY #kumparan",,,,
@teeskawee @drpriono1 @AIVITABio namanya vaksin nusantara kok yg neliti orang amrik. mbuh lah yo~,Tidak Percaya,,,
"Ini ga ada yang ribut2 soal vaksin nusantara apa ya?
Apa karna yang test kebanyakan anggota DPR..
Hahahaha",,,,
"Dukung Produksi Vaksin Covid-19 Nusantara, Wakil Ketua DPR: Saya Pikir akan Menambah Kekayaan https://t.co/wFVY4Mtk9O",,,,
"@drpriono1 @mawakresna @BPOM_RI ""Ini soal keyakinan, karena vaksinnya bagus kami mau ikut,"" kata Melki, Selasa (13/4/2021) malam, 13 April 2021.

https://t.co/zH0eJiMu2s",Percaya,,,
"Epidemiolog dari Universitas Griffith Australia Dicky Budiman meminta pemerintah bersikap tegas terhadap polemik Vaksin Nusantara. Apalagi, riset vaksin ini tak berpedoman pada kaidah ilmiah. https://t.co/vgriXpa1hQ",,,,
"Bukan tanpa alasan, anggota DPR Adian Napitupulu memilih vaksin nusantara. Vaksin lain tidak ada yang sesuai dengan kondisinya yang sudah pakai 5 ring jantung. https://t.co/BJ8snH2FWq",,,,
"Getol Perjuangkan Vaksin Nusantara, Anggota DPR disebut 'Endorser' https://t.co/S3ejroXv3u",Percaya,,,
"@CNNIndonesia Kalau uji klinis tetap dilanjutkan tanpa memperhatikan rekomendasi @BPOM_RI , dan mengakibatkan korban, maka penanggung jawab pengembang vaksin Nusantara peru diseret ke hadapan hukum. @KemenkesRI",,,,
"Testimoni Anggota DPR Pilih Disuntik Vaksin Nusantara

https://t.co/W02jPJF1xb",,,,
Ketika dokter Terawan ditanya komentarnya terkait Pihak IDI ataupun Media yg nyinyir soal Vaksin Nusantara :D https://t.co/uNUNBlnWHw,,,,
@Partono_ADjem Betul klo itu memang jalan keluar biar cepet copit kelar vaksin vaksin dah terserah mau yg nusantara atau yg syariah 😬,,,,
"Anggota DPR sebut uji klinis vaksin Nusantara dapat restu BPOM
https://t.co/MQCRLtrqVq https://t.co/ywuKSCU14s",,,,
"Anggota Komisi VI DPR, Adian Napitupulu memiliki pertimbangan sebelum memutuskan memilih vaksin Nusantara sebagai obat untuk melindungi dirinya dari virus corona (Covid-19). @DPR_RI 
https://t.co/YfHNdZk6Bq",,,,
"Masih Rahasia, Tim Peneliti Enggan Ungkap Pihak Pengawas Vaksin Nusantara
https://t.co/NCKcbIvQUy",,,,
"@TeddyGusnaidi Ini alasannya...
https://t.co/mLekwhVl4B",,,,
Kepala BPOM Penny K. Lukito menegaskan bahwa pihaknya tidak menghentikan riset vaksin Nusantara. BPOM pun mempersilakan tim peneliti untuk melanjutkan uji klinis tahap II asalkan bisa memperbaiki aspek-aspek yang diminta BPOM. Mulai dari proof of ... https://t.co/54UrwB2j68,,,,
"DPR Ngotot Coba Vaksin Nusantara, Epidemiolog: BPOM Tak Bisa Diabaikan https://t.co/fzawrYJ7yl",,,,
"Jadi Relawan Vaksin Nusantara, @Don_dasco: Bantu Program Vaksinasi Pemerintah https://t.co/bxB3QPnX0j",Percaya,,,
"Setelah anggota DPR disuntik Vaksin Sinovac, sekarang disuntik Vaksin Nusantara, kira2 hasilnya seperti apa? Kenapa juga ketika Vaksin Merah Putih akan diproduksi Massal Oktober 2021, ada yg berusaha menghambat? Pasti ini berkaitan dgn Mafia Vaksin. Pengen cuma Produknya yg laku https://t.co/j9Q59mmC4c",,,,
Alasan DPR Dukung Produksi Vaksin Nusantara Dalam Negeri https://t.co/PWYqiG8LHd,Percaya,,,
"Uji Klinis Vaksin Nusantara Dilanjutkan Tanpa Persetujuan BPOM

Klik untuk baca: https://t.co/KFPBULTfnV",,,,
Kata Gatot Nurmantyo Disuntik Vaksin Nusantara Dokter Terawan https://t.co/iEdXhQCXcP,,,,
"Ngetwit berbusa-busa membahas vaksin Nusantara.

Giliran vaksin cina yg data uji klinisnya gk dipublikasikan di peer reviewed journal anda diem diem bae.

Semua vaksin covid masih tahap uji coba. Dan siapapun yg divaksin, pada hakikatnya adalah sukarelawan uji coba vaksin. https://t.co/BtMpkpS6sK",,,,
Gatot Nurmantyo Ikuti Uji Klinik Tahap II Vaksin Nusantara #Vaksin #PenerimaVaksinCovid19 #Antibodi #vaksinnusantara #GatotNurmantyo https://t.co/yEtjuQlVa8 https://t.co/P38KDBmn9J,Percaya,,,
"“Kami sudah berikan temuan tersebut, kapan mereka bisa berikan sampai saat ini kami belum menerima,” ungkap Penny dalam pesan elektronik yang diterima wartawan, Rabu, 14 April. https://t.co/HINxl71pDR",,,,
"Mantan Panglima TNI Gatot Nurmantyo Dukung Vaksin Nusantara: 2 Tahun Lagi, Seluruh Dunia Pakai Ini https://t.co/Xqzb8D4vve https://t.co/4eDYFC5tNC",Percaya,,,
Kata Gatot Usai Ikut Vaksin Nusantara di RSPAD https://t.co/nU2ZaovhVC,,,,
"@AikHoki @RodriChen @Givetrust2other Pantesan genose dan vaksin nusantara ditentang, soalnya bukan punya UI ya?",,,,
Ketua F-PAN Yakin Vaksin Nusantara Sangat Baik dan Efektif dalam Meningkatkan Imunitas,Percaya,,,
"""Sebanyak 20 dari 28 subjek (71,4%) mengalami Kejadian yang Tidak Diinginkan, meskipun dalam grade 1 dan 2,"" ujar BPOM. https://t.co/2DHA1K2JS1",,,,
Jonny menyebut pihak ketiga ini bertugas mengawasi proses pengembangan vaksin nusantara. https://t.co/qcybuNHWHW,,,,
"Takjub sendiri karena bisa paham apa yang ibu ini sampaikan 👌🏻
BPOM Sebut Tim Vaksin Nusantara Abaikan Tahapan Hasil Evaluasi https://t.co/dGAPxDuxWh via @YouTube",,,,
Vaksin Nusantara buatan Majapahit,,,,
"""Komitmen correction action atau prevention action sudah diminta dari awal, tapi diabaikan. Good clinical practice dan good manufacturing practice untuk produksi vaksin belum terpenuhi,"" kata Kepala BPOM Penny Lukito https://t.co/WLXueRVbSo",,,,
"@TeddyGusnaidi Di balik Vaksin Nusantara sebenarnya ada filosofi menggunakan kekuatan sendiri untyk melawan penyakit. Bika terapi plasma darah, kita ditransfusujan darah orang lain yang sudah sembuh. Vaksin Nusantara, kita disuntikkan sel darah putih kita sendiri yg telah dikenalkan dgn covid.",,,,
@KompasTV Nanti langsung di test di lapangan pak. Yang sdh divaksin sinovac dan vaksin Nusantara. Sama sama dimasukkan ke ruang pasien covid. Siapa yang lebih kuat . Berarti vaksin itu yg paling ampuh,,,,
Gatot Nurmantyo Terima Ajakan Terawan Ikuti Uji Klinik Vaksin Nusantara https://t.co/3waeBaEZsy @Nurmantyo_Gatot @dregshendra3,Percaya,,,
"@detikcom Ya ngak ngapa vaksin merah putih jalan  vaksin nusantara jalan, saling suport, cmn beda sifatnya v merah putih sifatnya massal dan masif sedangkan v nusantara kan bersifat perorangan dan bth waktu yg relatif lama, misal untuk pr petugas garda terdepan,..",,,,
Ketua F-PAN DPR RI ungkap alasan ikut Vaksin Nusantara https://t.co/OimM7bvRbY,Percaya,,,
"Badan Pengawas Obat dan Makanan (BPOM) menyatakan pihaknya tidak pilih kasih terkait uji klinis vaksin apa pun, termasuk vaksin Nusantara. Semua berhak asal penelitian sesuai kaidah scientifik. #TopNews https://t.co/ZoF6kT17gQ https://t.co/VsHrlPSXqF",,,,
BPOM menilai dokumen CPOB dan hasil uji klinis fase I vaksin Nusantara gagasan Terawan belum sesuai kaidah penelitian. Baca selengkapnya di #CNNIndonesia https://t.co/KQSTGApoTM,Tidak Percaya,,,
Anggota DPR RI ramai-ramai ambil darah di RSPAD Gatot Soebroto. Vaksin Nusantara 'dr Terawan' sudah bisa untuk umum? Berapa harga atau biayanya? https://t.co/iTugYupcPl,,,,
Begini Saran Ketum PB IDI kepada Tim Peneliti Vaksin Nusantara https://t.co/0KT4j8aNxU,,,,
"DPR Ngebet Pakai Vaksin Nusantara, Risikonya Tanggung Sendiri? https://t.co/BhNn2YJfft",,,,
"BPOM meminta penelitian vaksin Nusantara dihentikan sementara karena tidak memenuhi persyaratan uji klinik fase I. Di antaranya, vaksin ini tidak memenuhi aspek Good Manufacturing (GMP) dan Good Laboratory Practice (GLP) https://t.co/B7Pbh9napI",Tidak Percaya,,,
"DPR dukung produksi Vaksin Nusantara buatan dalam negeri 
https://t.co/bQALFtcXiK
#aktual
#newsupdate
#beritaviral",,,,
Adu Produk RI Lawan Corona: Vaksin Nusantara vs Merah Putih https://t.co/We42FqBtrH,,,,
#Adu Produk RI Lawan Corona: Vaksin Nusantara vs Merah Putih - CNN Indonesia #Corona #Korona,,,,
"Punya Penyakit Jantung, Adian Napitupulu Pilih Vaksin Nusantara Ketimbang Sinovac Atau AstraZeneca

https://t.co/ukm4BWoqfU

Download aplikasi Tribunnews untuk update berita terbaru

Dapatkan untuk Android: https://t.co/AEVHDGdHUB",,,,
"Wakil Ketua DPR Sufmi Dasco Ahmad didampingi sejumlah anggota DPR menjalani penyuntikan vaksin Nusantara di RSPAD Gatot Subroto. @DPR_RI #vaksinnusantara 
https://t.co/EyUCMUtolf",Percaya,,,
Anggota DPR Suntik Vaksin Nusantara Ala Terawan https://t.co/dAYzTfX8sJ,Percaya,,,
"Bagus neeh kalo ga sengaja ada arsenik ato semacemnya. 🤭

Tak Ada Izin BPOM, Uji Klinis Vaksin Nusantara Diikuti Anggota DPR https://t.co/Ln7E8DZgWU via @tirtoid",,,,
@MemeComicIndo konspirasi buat bikin seolah2 vaksin nusantara sama efektifnya sama vaksin impor,Tidak Percaya,,,
BPOM Jelaskan Alasan Vaksin Nusantara Belum Bisa Lanjut ke Tahap Uji Klinis https://t.co/I41GgvIxHP https://t.co/gmhEYTHRe2,,,,
BPOM Sebut Tim Vaksin Nusantara Abaikan Tahapan Hasil Evaluasi https://t.co/XLl0QUzIHc https://t.co/SlMsKuimwR,,,,
"Ketua Dewan Pembina Partai Golkar @aburizalbakrie jadi relawan Vaksin Nusantara

#kabargolkar #golkar #partaigolkar #golkarsolid #golkarupdate #golkarindonesia #vaksinnusantara #VaksinasiNasional https://t.co/sipK4LL9Go",Percaya,,,
"1. Diambil darahnya dahulu, di culture baru disuntikkan kembali. Dengan karakteristik yg setiap org beda ini tdk bisa dijadikan vaksin yg massal, personal
Kalau produksi dlm negeri : 
Di challenge dengan antigen, antigennya di produksi siapa

https://t.co/NPEVm7bjIn via @tirtoid",,,,
"Sebagai relawan uji klinis, kata dia, hari ini sampel darahnya diambil oleh tim peneliti Vaksin Nusantara untuk diolah hingga satu pekan ke depan. https://t.co/03nybwHMpJ",,,,
"@Syarman59 @PBIDI @DPR_RI Kalau ujung²nya pengen fee atau duit, mana bisa ilmiah sih penolakan vaksin nusantara 😁
Hormat se tinggi² nya buat dr. Terawan, seorang ilmuwan sejati Indonesia 👍👍👍",,,,
Jangan ngajak2. https://t.co/vy8vvzEobj,,,,
"@kompascom Emangnya anggota DPR mau dijadikan kelinci percobaan vaksin Nusantara? Klu iya, hebat amat. Apakah sekalian jadi pemegang saham?? Katanya, BPOM blm mentest dan blm menyetujui. Ini bagaimana?",Tidak Percaya,,,
"Nekat euy, semoga sehat-sehat pak.

https://t.co/V96CawRk2U",,,,
"@malakmalakmal Vaksin nusantara
Islam nusantara 
Bentar lagi nyusul nusantara lain lainya yg ngaco yg di populerkan para sjw bau septictank",Tidak Percaya,,,
"@SantorinisSun Coba nanti di pantau aja info nya Valid atau Ngga, krn Pengusaha Sekelas TW aja Cuma mau.di Vaksin Nusantara.",,,,
"@SantorinisSun iya, Banyak pejabat lain nya yg Percaya, Cuma dari BPPOM nya belum setuju, Ngga tau apa krn Bisnis atau apa, maka nya sama Dr Terawan semua Alat dan Penelitian nya di bawa ke RSPAD, sy malah setuju kalau semua pake Vaksin Nusantara aja",Percaya,,,
BPOM: 71 Persen Relawan Uji Klinis Vaksin Nusantara Alami KTD https://t.co/Qfswy9TOJP,,,,
"""Kalau belum melewati uji klinis fase 3, seharusnya jangan digunakan demi keamanan dan keselamatan pengguna vaksin.""

https://t.co/mHOtM69k7j",,,,
"Ndablek ini namanya.... Apa mmg kek gini wajah negara ini... Aturan semua bisa dilanggar...?? 

https://t.co/558sn4IO9I",,,,
@drpriono1 vaksin nusantara bakal ganggu profit nya ya dok?,,,,
Salah seorang anggota DPR RI yang ikut 'suntik' vaksin nusantara di RSPAD Gatot Soebroto adalah Adian Napitupulu. Ada alasan khusus ia memilih vaksin tersebut. https://t.co/Cxt1FDwTkY,Percaya,,,
"Selain Gatot Nurmantyo, Sejumlah Tokoh Bangsa Siap Disuntik Vaksin Nusantara https://t.co/TZpzPW5CJ1 https://t.co/fCDnz9RTBv",Percaya,,,
BPOM memastikan data dari uji klinis fase I vaksin Nusantara belum mencukupi untuk dilanjut ke fase II. #kumparanNEWS https://t.co/OqnM6QhCQO,,,,
BPOM memastikan data dari uji klinis fase I vaksin Nusantara belum mencukupi untuk dilanjut ke fase II. #kumparanNEWS https://t.co/IryJYAoMdJ,,,,
"Saya rela kalo anggota dpr pake vaksin nusantara, asal jangan warganya aja.",,,,
@Vaksin_Vuritust @akunsatir00 @agama_nusantara Hooh.. motmotin punya kambing juga,,,,
Dewan pemburu rente https://t.co/ZUqc3FbcaG,,,,
"@SantorinisSun Sori Bro, Vaksin Nusantara di dukung sama TW, jadi Gatot ngga mungkin Berani Nolak, Tau sendiri kan, Cuma Ngomong nya aja di Politisasi Seolah olah Cinta Tanah Air, sy juga dukung Vaksin Nusantara, Cuma Ngga suka Politisasi nya itu loh...",,,,
"Mantap sekali-sekali @DPR_RI harus berani menunjukkan diri berpihak ke rakyat? 🤭

Jangan tenggelam dalam alunan ombak dan gendangan para ""pengkhianat rakyat"" 👍👍
https://t.co/8DG6RIwCfx",,,,
"@rasgans Coba genose yang bikin UI. 
Coba Vaksin Nusantara yang bikin UI. 

Bakal heboh penolakan gak?",,,,
"Vaksin itu bisnis/cuan
Saya sebagai orang Indonesia merasa tidak nyaman dg penamaan Nusantara. Saya tidak yakin itu vaksin dibuat orang Indonesia https://t.co/IIPZ5DQ87r",Tidak Percaya,,,
Anggota DPR Ramai-Ramai Jalani Pengambilan Sampel Darah untuk Vaksin Nusantara https://t.co/XGVt3UWNuq https://t.co/eMcj1a4vOr,,,,
PDIP Sebut Dewan yg Suntik Vaksin Nusantara di RSPAD Inisiatif Pribadi https://t.co/Qz3xNLUOOV #Terbaru #berita #live #metro,,,,
"https://t.co/HteR8Jf2t7

selalu sulit percaya sama yang beginian :'))))",,,,
"Temuan BPOM: Data Keamanan Vaksin Nusantara Diganti Peneliti: ""Terdapat data-data keamanan yang diganti oleh peneliti dengan menghilangkan data yang lama, sehingga tidak dapat ditelusuri keaslian data dan tidak dapat diketahui penyebab perubahan data… https://t.co/YZHleHIh8A",Tidak Percaya,,,
"Vaksin Nusantara Jadi Sorotan, BPOM Beberkan Masalah yang Terjadi Sejak Uji Klinis Pertama https://t.co/lKhLCoAGlI",Tidak Percaya,,,
"Mantan Panglima TNI Jenderal (Purn) Gatot Nurmantyo mendatangi RSPAD Gatot Soebroto, Rabu (14/4/2021). Ia menjalani pengambilan darah untuk vaksin nusantara. https://t.co/ASLGupGNDp",Percaya,,,
"Dukung Vaksin Nusantara, Gatot Nurmantyo: 2 Tahun Lagi, Dunia Pakai Ini

https://t.co/uyDdaUnFme",Percaya,,,
@Agamajinasi Tiati ada Ical membantu persyaratannya... https://t.co/xNTdlLjxoQ,,,,
Vaksin Nusantara yang digagas oleh eks Menkes Terawan menuai kontroversi. Diketahui para peneliti vaksin tidak sesuai dengan nama yang diterima oleh BPOM. #kumparanNEWS https://t.co/Hq8vfDMqa0,Tidak Percaya,,,
"Terobos aja lah

https://t.co/3SXSucKMSP",,,,
