Tweet,Nilai,,Percaya,,Tidak Percaya
"Lucu deh baca artikel berita tentang Vaksin N nya pak ex menteri. Jelas2 penelitiannya gak sesuai cpob (cara pembuatan obat yg baik) makanya gak dapet ijin bpom. 

Terus malah si bapak2 dpr juga ngotot buat tetep dilaksanain uji klinis tahap 2nya.",Tidak Percaya,,,,
Messi beli vaksin Sinovac btw https://t.co/ryOeHD9zUx,,,,,
"Banyak dari mereka yang mengalami pembekuan darah setelah mendapat vaksin Covid-19, rupanya memiliki hasil tes positif antibodi trombosit 4 atau PF4. https://t.co/nUCazxgsJz",Tidak Percaya,,,,
"Semua front liners dah dapat vaksin ke? 
Bukan hari tu cakap, lepas frontliner, vaksin untuk orang tua ke? https://t.co/Sxny5eqAaC",,,,,
Bhabinkamtibmas Polsek Muara Kuang Bripka Jon Sutrisno melaksanakan pengawalan vaksin untuk Lansia di Puskesmas Muara Kuang https://t.co/GRwQtDpmIp,,,,,
Malaysia nak dapat vaksin pon berzaman. Lagikan nak pilih hmmm https://t.co/xFRmfdcVc2,,,,,
"Belum Pernah Divaksinasi, Anggota DPR Pilih Dukung Produksi Vaksin Nusantara https://t.co/5RWJ0fEKVX via @medcom_id #CekDuluMedcom #CaraBaruMenikmatiMedcom",Percaya,,,,
"Baru 8 juta daftar terima vaksin, around 36% rakyat Malaysia ja. Remember they said if 80% Malaysians are vaccinated they'll consider interstate crossing. Takkan next raya baru saya boleh balik kampung.... 🥲",,,,,
"Fatwa dari MUI Nomor 13 Tahun 2021 tentang hukum Vaksinasi, adalah : Tidak membatalkan puasa dan boleh dilakukan bagi umat Islam yang sedang berpuasa. Vaksin aman, karena dilakukan dengan injeksi intramuscular. https://t.co/3GCtdJ9IUO",Percaya,,,,
"Kene suntik vaksin kali kedua, gudluck dear",,,,,
BERITA SAHAM HARI KAMIS 15/04/2021 – POWELL YAKIN EKONOMI AS BAKAL MELESAT DENGAN DUKUNGAN PEMERINTAH-VAKSIN https://t.co/YaXYO4W865 - #Berita #Forex #Analisaforex #forextrading #Bisnis,,,,,
Italia menjadi negara berikutnya yang menahan penggunaan vaksin COVID-19 Johnson &amp; Johnson karena isu pembekuan darah. #TempoDunia https://t.co/NsduFjPNWr,Tidak Percaya,,,,
"Meskipun udah vaksin, belum tentu kebal kopid yaa...
Tetap menjalankan protokol kesehatan juga. Contoh kasus terdekat, kantor lockdown 3 hari karena salah satu rekan kerja ada yang positif",Percaya,,,,
"Pengajuan vaksin Nusantara melibatkan orang kepercayaan dan teman Terawan. Menyediakan dana dan mengikuti uji coba vaksin. 
https://t.co/SAFyPkliCH",,,,,
"@inlesttari Di FAQ Kemenkes, ibu menyusui gaboleh vaksin, tapi untuk lebih lanjut mending dateng mah dateng aja teh, tar pas ditanya tanya, bilang aja ibu menyusui, bisi ada penjadwalan ulang buat vaksinnya. Atau barangkali boleh.",,,,,
@kochengfess Klo aku nunggu semingguan dlu abis vaksin baru jemur,,,,,
@perupadata Kemarin group DPR yang sudah vaksin duluan pakai vaksin apa ya? 🤔,,,,,
gini nih efek vaksin jd ngantukan:(,Percaya,,,,
"Aku udah full vaksin. Mau peluk, boleh? https://t.co/Y0vU9VcBRh",Percaya,,,,
"Dengan berlangsungnya secara bertahap vaksin tahap 2 bagi lansia, alhamdulillah beberapa masjid kembali menggelar ibadah taraweh meskipun jumlah jamaah dibatasi 50%. Nah yg sudah vaksin tenang donk, bisa beribadah dengan aman dan tenang",Percaya,,,,
"Vaksin dengan kapital politik yang besar, entah bagaimana dibandingkan dengan kapital risetnya. https://t.co/icYakTDq3J",,,,,
"Akhirnya kelar ugha vaksin. 
kagak pegel, tapi kok perih yaaa. Wkwkwk",,,,,
"@KompasTV lalu apakah IDI bisa menjamin vaksin yg lain?hrs nya IDI berfikir juga utk menyempurnakan vaksin nusantara,bukan malah mengkritisi tanpa solusi...",,,,,
"@penyejuk_hati_ @DivHumas_Polri ga ilegal menurut BPOM. ilegal menurut hukum negara ini.
BPOM itu yg diamanahkan negara untuk memberikan uji klinis obat dan vaksin..

ilegal itu..",,,,,
"Puasa di tahun ini Indonesia masih dilanda pandemi, Vaksinasi Covid-19 masih belum sepenuhnya selesai. Nah, MUI Majelis Ulama Indonesia, mengelurkan pernyataan bahwa Vaksinasi di bulan Ramadan tidak membatalkan puasa ya Twips. Vaksin Aman, allhamdulillah, don't worry. https://t.co/0iJO7pY2TK",Percaya,,,,
@vidianggraini_ Ketemu donggg ga berani ya kak?☹️ kk vaksin nggaaaa,,,,,
@iripann Apa itu vaksin..tiberr,,,,,
"Vaksinasi ini salah satu cara kita untuk terus sehat dan melanjutkan puasa dan ibadah kit. Covid ini tidak seperti kelihatannya, dia bisa ada di dekat kita kapan aja. Makanya vaksin ini penting juga untuk menjaga imun kita https://t.co/7b0hbSC18L",Percaya,,,,
"Akses vaksinasi Covid-19 didorong agar bisa merata untuk masyarakat, termasuk bagi penyandang disabilitas. 

Pemerintah diminta pastikan hak-hak penyandang disabilitas terpenuhi termasuk fasilitasnya.

Laporannya kami hadirkan di #WrapUp
https://t.co/DawiU46Gw5

#PodcastIndonesia https://t.co/wcR8GOyDI8",,,,,
"@leksa @DivHumas_Polri Betul, ilegal menurut BPOM utk lanjut uji klinis. Yg dibantah oleh mimin Gerindra di twit lain (mengutip anggota DPR). 

Cuma, intinya, ini belum dilaunch sebagai vaksin sih, tetep masih tahap uji klinis. Dan salut karena bisa gandeng banyak orang penting utk jd sample uji.",,,,,
Okay dah sejuta orang terima vaksin. Lagi 30juta come on,,,,,
Kalian yang anti-vaksin tapi merokok semua lahanat.,,,,,
blm pernah coba test swab dll tbtb vaksin wuhh,,,,,
"BPOM benar soal ini. Keliru kalau anggap vaksin Nusantara hasil karya anak bangsa. Vaksin itu tidak lain merupakan produk dari Avita Biomedical Inc, Amerika Serikat. Alias vaksin Nusantara tidak lain nama jual vaksin Avita di Indonesia ! https://t.co/tkbGWG8rR9",,,,,
@wiwithyulianto @drpriono1 @BPOM_RI Emang Vaksin Nusantara itu vaksin lokal ya? Semuanya aja serba import.... bahkan yg mengerjakan juga orang asing. ini ibarat kek SMK bilangnya lokal ternyata namanya doang yg lokal.... produknya mah import CN jg...,,,,,
"Mitos dan Fakta Vaksin Covid-19

https://t.co/Y6jvSPCP5H https://t.co/IYrahZJGsY",,,,,
"si penny lukita dan anak buahnya itu cocoknya jadi dosen pembimbing skripsi di kampus, bukan di BPOM . Pernah sy usir dari pabrik krn suka cari cari kesalahan industri dlm negeri. Tapi produk import di biarkan.
mbo jae.

https://t.co/dSyRDqghB4",,,,,
"Keliru kalau anggap vaksin Nusantara hasil karya anak bangsa. Vaksin itu tidak lain merupakan produk dari Avita Biomedical Inc, Amerika Serikat. Alias vaksin Nusantara tidak lain nama jual vaksin Avita di Indonesia ! https://t.co/3Z2OhBmJ9j",,,,,
"Ya kan kalau kita ikut serta dalam program Pemerintah, vaksinasi tahap kedua di Ramadan ini, artinya kita turut serta membangun kekebalan kelompok, agar Covid-19 cepat pergi. Dan hidup kembali normal lagi...

Oiya, kalau Pak Jokowi udah vaksin ke 2 belum ya? Mestinya sih sudah ya https://t.co/4HYzEpgWyT",,,,,
"Sayang nya Aku belum dapat jadwal vaksin, yang sudah dapat jadwal vaksin di bulan puasa yuk bisa yuk untuk menjaga kesehatan dan makan bergizi yah",,,,,
"Cari alasan tu yang ilmiah dikitlah @BPOM_RI 
Memangnya Vaksin Sinovac itu bahannya dari dalam negeri semua? 
https://t.co/hJnbCfTkmc",,,,,
"09.44 #BeritaSONORA - Pimpinan dan anggota DPR menjadi relawan dalam pengembangan vaksin Nusantara. Pengambilan sampel darah dilakukan di RSPAD Gatot Subroto. https://t.co/tDvXCleAK0 
via @kompascom",,,,,
"Jakarta Jadi Wilayah dengan Realisasi Vaksinasi Tertinggi Kedua di RI: Ketua Komite Penanganan COVID-19 dan Pemulihan Ekonomi Nasional (KPCPEN) Airlangga Hartarto mencatat, akselerasi penyuntikan vaksin di Indonesia sudah mencapai 15,6 juta dosis. Di… https://t.co/eBkwJX0zea",,,,,
"@leksa @DivHumas_Polri Anyway, terlepas dari apa yg dibilang min Gerindra, di berita disebutkan bahwa pengambilan darah anggota DPR kmren itu jg emang bagian dari uji klinis. 

Jadi, belum sampe fase ""vaksin udah diakui ampuh dan disuntikkan ke orang"" kayak narasi di atas. 
https://t.co/1RnAOD7pDL",,,,,
Vaksin dosis 2 sakit banget 😭😭😭😭,,,,,
"Amerika itu dulu termasuk daerah yang ditundukkan oleh Majapahit, jadi kalo vaksin Nusantara bahan bakunya dari Amerika ya gausah kaget.",,,,,
"@Syarman59 @KompasTV Tapi sinovac ga ada embel2 vaksin anak bangsa, bang jago",,,,,
Lg 5 tahun pon tak habis lg bagi vaksin https://t.co/CEXY7TMBS5,,,,,
"Ada apa dengan kita dan mereka ?👀

Dukungan untuk vaksin nusantara besutan Terawan Agus Putranto mengalir deras, termasuk dari kalangan anggota DPR RI. Tapi banyak yang penasaran, benarkah vaksin Corona berbasis sel dendritik ini murni karya anak bangsa?
https://t.co/rEIRuGt0O6",,,,,
"BPOM menemukan sejumlah kejanggalan pada pengembangan vaksin Nusantara. Selain pengujian belum memenuhi standar ilmiah, vaksin ini berpotensi mengakibatkan efek samping bagi tubuh manusia. Berikut ini rinciannya. #korantempodigital #KoranTempo https://t.co/D8tYT7r04a https://t.co/69xZx1QWSG",Tidak Percaya,,,,
"Polemik Vaksin Nusantara | 

BNPB Ingatkan 30 Daerah Waspada Ancaman Siklon Tropis | 

Pemprov Jabar Minta Polisi Cegah Pemudik Sebelum 6-17 Mei 2021

Kami sajikan di #BuletinPagi
https://t.co/mMnNF823bD

#PodcastIndonesia #KBRPrime #VaksinNusantara https://t.co/NJyIKb7ssr",,,,,
"Pengamat politik Hendri Satrio meminta DPR terbuka soal Vaksin Nusantara yang disebut diberikan terhadap sejumlah anggota dewan pada hari ini, Rabu (14/4/2021) - #Nasional https://t.co/aTBfEzanDq",,,,,
"jujug wargane vaksin

#karanggintung
#sumbang https://t.co/AQxSSBdUUK",,,,,
vaksin boleh ditelen aja ga?,,,,,
"Malaysia dapat tambahan kuota haji 10.000 tahun ini, semoga Indonesia bisa memberangkatkan haji, mengingat vaksin Sinovac msh ditolak Arab Saudi https://t.co/lB2xRSoUxi",,,,,
"Vaksin merupakan ikhtiar untuk mengakhiri pandemi covid-19 untuk keselamatan umat Islam seluruhnya. Insyallah dengan cara vaksin tetap berjalan di bulan puasa, akan dikabulkan pandemi berakhir. Aamiin",,,,,
@voaindonesia Targetnya 52 juta warga Meksiko sudah disuntik vaksin COVID-19 pada bulan Juli.,,,,,
https://t.co/sz6iNziVrN,,,,,
Pak dokter @drDeden izin bertanya. Untuk jadwal vaksin tanggal 17 april wilayah penganjang kecamatan Sindang @kotaindramayu ada dimana pak dokter?. Terimakasih,,,,,
"Keliru kalau anggap vaksin Nusantara hasil karya anak bangsa. Vaksin itu tidak lain merupakan produk dari Avita Biomedical Inc, Amerika Serikat. Alias vaksin Nusantara tidak lain nama jual vaksin Avita di Indonesia ! https://t.co/GN8xpm1tIv",,,,,
"Ada yang baru tau vaksin sinovac belum tersetifikasi Who? 🙄
#onproseskatanya",,,,,
"@kompascom Sumber lain mengatakan, kalo vaksin yg Nusantara bs bertahan lama , tidak hanya 1-2 tahun. Jd lebih bagus dr Sinovac dll.",,,,,
@XHIndonesia Targetnya 28 juta warga Argentina sudah disuntik vaksin COVID-19 pada bulan Juli.,,,,,
"Nah kalau udah ada fatwa MUI ini udah mantep khan gak perlu pusing dan bingung lagi. Pokoknya puasa dan vaksin covid 19 tetep aman ya, gak akan ngaruh ke ibadah kita semua https://t.co/djXKtYXgza",Percaya,,,,
"8.Kelima, dalam konteks global Saudi Arabia lebih dekat dan bersahabat dengan Amerika ketimbang Cina. Sedangkan Indonesia sedang akrab dan bermain-main dengan Cina.
Vaksin pun dari Cina, Sinovac yang dianggap masih rentan bagi penularan Covid-19.",,,,,
"@drpriono1 @jokowi @DPR_RI @KemenristekBRIN @KemenkesRI Tweet ini jelas² menyalahkan vaksin yg dibuat dgn pembohongan publik oleh ""ahli"". Tapi yg diserang presiden. Keren emang orang indonesia. Apapun masalahnya, presiden adalah sumber kesalahan.",,,,,
@JAMIEN203 vaksin dulu....aku ada vaksin rabies,,,,,
"@afifbahardin @pemudanegara_my Vaksin dah dapat, boleh suruh bersidang parlimen semula la",,,,,
"Waduh, Peneliti Vaksin Nusantara Disebut Abaikan Koreksi BPOM? 

Vaksin Nusantara itu bukan untuk vaksin covid tapi vaksin politik.

https://t.co/QhesWkAm0E",Tidak Percaya,,,,
apakah vaksin kali ini tidak dapet bonus??,,,,,
@tia_alzahira Vaksin aman ya selama puasa,,,,,
@KKMPutrajaya Dah buat darurat. X leh rentas negeri dah cucuk vaksin still naik? KKM apa kau buat? Ikut arahan kitab WHO ke ?,,,,,
"@jungjenass waduhhh begimana:( pas sblum di vaksin pasti di cek dulukan history kesehatan lo, dibilang gapapa?",,,,,
"Terawan jadi menteri kesehatan ngurusi data pasien covid aja nyembunyiin data. Terus berharap dpi bikin vaksin ngasih tahu data penelitiannya?

Mimpi kamu, dek! https://t.co/buoNV5nLYT",Tidak Percaya,,,,
"@hendrarprihadi Mas Hendi mohon info soal statement pak Ganjar tentang vaksin usia 18-59 yg di infokan mulai tgl 15 april 2021 bgmn mnrt pemkot Semarang, apa pelaksanaannya spt yg di mksd",,,,,
Selain Vaksin yang harus di ingat test swab juga tidak membatalkan puasa karena tidak mengeyangkan hanya masuk ke dalam hidung atau mulut yang dikeluarkan lagi alatnya. Kmrn teman juga Ada yg bertanya apakah swab membatalkan puasa? Ternyata tidak yah tweeps https://t.co/asrE7nTc5h,,,,,
blum vaksin mar so ketakutan doew,,,,,
"Kalo di vaksin tiga kali, buat apa?",,,,,
"menurut AGAMA pun semua sdh ada AHLInya &amp; kita harus berpasrah pada ahlinya,, jadi kalo vaksin sdh dikatakan klinis yaa kita harus vaksin 😁👍 https://t.co/tOCeeNlqeT",Percaya,,,,
Makin menjadi-jadi kes covid ni. Vaksin pun lembab nak mampos.,,,,,
Lansia Desa Sambi Mulai Mendapatkan Vaksin https://t.co/TXVidwL5Fy,,,,,
"Sebelum pelaksanaan vaksin aman, pastikan dulu stamina fit &amp; sehat
Cukup istirahat, ngga usah begadang dulu
Sudah santap sahur sama makanan &amp; minuman bergizi

Nah, mulai sekarang temans yg kebagian jadwal vaksin di bulan puasa ngga perlu khawatir lagi!

Moga pandemi lekas pergi https://t.co/AfmX6fratm",,,,,
09.37 #BeritaSONORA - POM dan IDI Minta Vaksin Nusantara Penuhi Prosedur Uji Klinis https://t.co/Yk4r8zfpR7   via @KompasTV,,,,,
@PakAhmadUtomo @ismailfahmi Saya melihat vaksin satu ini ada unsur politisnya. Terlihat dari ngotonya bbrp anggota dpr,Tidak Percaya,,,,
"@SmgMenfess2 Enggak nder.

suntik vaksin saat puasa aja nggak batal.

suntik yang membatalkan adalah suntikan yang membuat kenyang. 
wallahua'lam bisshowaab..",,,,,
Rencana Pemberian Vaksin Nusantara ke Anggota DPR Dianggap Ganjil https://t.co/DlYpVH9zoi,Tidak Percaya,,,,
@politikana Od money Golkar mungkin banyak yg dimintain sumbangan buat muterin vaksin amrik ini jadi punya terawan kali?,Tidak Percaya,,,,
"Direktur Pusat Pengendalian Penyakit (CDC) Tiongkok Gao Fu sempat menyebut rendahnya kemanjuran vaksin Covid-19 buatan negaranya. Pernyataan itu kemudian ia koreksi.

https://t.co/dKlr2mNjg1",,,,,
"@drpriono1 @BPOM_RI Yg penting jgn pakai standar ganda, emang BPOM memeriksa langsuñg proses pembuatan vaksin ke Cina dan Amerika, katanya hanya berdasar laporan, lha gmn bisa menerapkan standard berbeda dg Vaksin Nusantara,?",Tidak Percaya,,,,
Gimana caranya vaksin sih kok ini gua liat udah pada mulai dapet ya,Percaya,,,,
@whereistherrr hbis ni gw mau vaksin kedua juga nih yah. jujur takut godin. soalnya iya pas yg oertama emang jadi laperan 😐👍,Percaya,,,,
"Batal puasa yang masuk ke dalam perut, karena vaksin sistem suntik di bagian lengan yang tidak tembus ke dalam perut tweeps. Jadi kalian Ada jadwal vaksin pas puasa jangan khawatir puasa akan batal https://t.co/R8agdRKLoF",,,,,
[Tf]  vaksin yang beredar sekarang jenis vaksinnya apa ? Ada yang tau?,,,,,
Akhirnya vaksin juga...,Percaya,,,,
"So far so good ini Sinovac, paling kemeng doang tangan.

Yuk mari menanti tahap 2 vaksin dengan ttp menjaga kesehatan as always.",Percaya,,,,
"@mbahndi Sepakat dok, ni vaksin jadi semacam vaksin indie gitu ya dok.. 😁",,,,,
Pimpinan dan anggota DPR menjadi relawan dalam pengembangan vaksin Nusantara. Pengambilan sampel darah dilakukan di RSPAD Gatot Subroto. https://t.co/dox43oFqsr,,,,,
"Wargi Bandung, vaksin memang bukan solusi murni memberantas Covid-19 namun ia melengkapi usaha kita untuk terhindar dari infeksi Covid-19 #dinkeskotabandung #dinkeshebat #vaksincovid19 #BandungLawanCovid19 #KitaYakinBisa #Covid19 #vaksin #sehat #kesehatan #lawancovid19 #MGTAds https://t.co/ruJSR7QtWE",,,,,
Awalnya cuma vaksin sel dendritik...ketika tak lagi duduk di kabinet entah kenapa berganti nama menjadi Vaksin Nusantara...atau vaksin terawan...,,,,,
Awal mula ribut2 Vaksin Nusantara itu ya tautan ini...saat itu dr terawan masih Menkes... https://t.co/gfz0mGH6JJ,,,,,
"Lagi jaga vaksin, kadang heran ya kayaknya masyarakat tu masih ada yg memandang ""jijik"" gt ke nakes. Ngasih ktp dan kartu sambil dilempar kan kurang sopan ya, ditanyain juga jawabannya kok kdg sengak abis. Sabar dan sehat semua ya teman teman nakes~",,,,,
@KompasTV Jawab dulu siapa bertanggung jawab vaksin LN? Vaksin Nusantara jelas aman karena Lokal dan Alamiah... Kami 100% Yakin Vaksin Nusantara!,Percaya,,,,
"Sepi banget pabrik, pada vaksin~
Kloter pertama banyak bet dah",,,,,
"Kapan waktu pemberian vaksin?

Merujuk pada rekomendasi PAPDI dan ITAGI, Penyintas COVID-19 dapat divaksinasi 3 bulan setelah sembuh.",,,,,
"Bagaimana kalau vaksin nusantara itu diberikan ke rangorang yg kemarin gak percaya sama covid, lalu sekarang paling depan antri utk divaksin? Solusi menang menang, bukan? ✌🏻😬",,,,,
Lucunya komentar orang2 soal vaksin nusantara ini 😂 iya dah pada pinter2 emang kok ya,,,,,
"Vaksin di Bulan Ramadan
Apa aja yang harus disiapkan? 
- Tubuh harus Sehat dan fit
- Istirahat yang cukup 
- Makanan yang bergizi pas sahur https://t.co/wNZvJgqsp7",,,,,
"Tak tau cara untuk daftar vaksin?
Jangan risau...jumpa kami di sini
👆👆👆
Team JaPenDTL sedia membantu
#JaPenDTL 
#JapenPenang 
#vaksìncovid19 https://t.co/eC2z8ccnOy",,,,,
"@na_dirs Vaksin Nusantara, diabaikan BPOM, digunakan semua kalangan.
Good Joob, Terawan.. https://t.co/ayf4mrNM4k",,,,,
"Tak tau cara untuk daftar vaksin?
Jangan risau...jumpa kami di sini
👆👆👆
Team JaPenDTL sedia membantu
#JaPenDTL 
#JapenPenang 
#vaksìncovid19 https://t.co/85baRBfebi",,,,,
"@kabarsleman maaf min mau tanya perihal vaksin lansia, 
untuk vaksin lansia sleman apakah masih tersedia min?",,,,,
@agungcordoba1 Habis vaksin ya pak?,,,,,
"BPOM Jelaskan Alasan Vaksin Nusantara Gagal Lanjut Uji Klinis Fase II
@BPOM_Surabaya @BPommeraud @BPomphrey 
https://t.co/5QUPybKdzx",,,,,
"@penyejuk_hati_ @DivHumas_Polri lha?
belum terbukti secara klinis, lalu sudah ngaku2 ampuh dan dipakaikan ke orang, itu ga beda sama vaksin palsu...

buktikan dulu itu ampuh, baru jadi vaksi asli 😊",Tidak Percaya,,,,
"Vaksin kucing langka, kalah karo vaksin korona",,,,,
"@_haye_ Ooo itu sih ga jelas..sudah divaksin masa mau ikut uji klinis vaksin lain, ya hasilnya nanti ga benar..ini anggota DPR dapat apa ya sampai ngotot begitu",,,,,
"🤡
https://t.co/MJp3m1ZnJR",,,,,
@KompasTV Sekarang semua bela vaksin nusantara yg aslinya dari amerika serikat.ini persaingan dagang dan org ind perang saudara hanya utk bela persaingan itu.dan nantinya yg menang pengusaha nakalbyg monopoli vaksin nusantara.rayat kecil selalu jadi korban,,,,,
Vaksin tak percaya tapi Liverpool nak fokus dan menang UCL percaya pulak. 🤣,,,,,
"India benarkan penggunaan kecemasan vaksin Sputnik V, berikutan kadar jangkitan di negara itu semakin membimbangkan. Foto : AFP

https://t.co/P49ioMqQAK
#onenews #COVID19 #India https://t.co/SM1hlFWn61",,,,,
BPOM dan IDI Minta Vaksin Nusantara Penuhi Prosedur Uji Klinis https://t.co/SHUAL1KVXs https://t.co/YEbDZWuNoO,,,,,
"Triple H walaupun dia selalu sebut suck it, bab vaksin dia shot it. https://t.co/ipoLutFwmP",,,,,
"Pagi tweeps 
Beberapa hari yang lalu temanku galau untuk vaksin di Bulan Ramadan, apakah batal / tidak pas puasa? 

Akhirnya bisa informasikan ke teman dengan fakta karena Fatwa MUI menjelaskan vaksin tdk membatalkan puasa. Kalian yang belum tau,nih aq info lebih detail 

Thread https://t.co/LXT18sQCgG",,,,,
"Udah dapet jadwal vaksin tgl 19, tapi dilema karena masih jadi busui🥺",,,,,
"Apa itu uji klinis, yg penting bisnis. Kudu cepet jadi vaksin. Makin cepet jadi makin cuan. Sebelum permintaan sedikit stok banyak, harga jadi murah, bisa bisa ga laku 🤣. Mantep emang politikus negara tetangga. https://t.co/9difzme50m",Tidak Percaya,,,,
"Ke sebenarnya dia orang takut kalau rakyat dah dapat full vaccination then decide utk buat demonstrasi jalanan 👀 sebab tu asyik kona sana kona sini, pergi derma vaksin kat negara lain 🙄",,,,,
BPOM: Peneliti Vaksin Nusantara Orang Asing dan Tidak Berizin https://t.co/ROGjEW5nh5,Tidak Percaya,,,,
"Kalau pada saat puasa mak vaksin kita harus gimana ya?? Jadi kalau besok vaksin kita istirahatnya harus cukup dan asupan yang dimakan saat sahur benar-benar seimbang, ini supaya meminimalisir efek https://t.co/WYlJ03K87W",,,,,
"untuk memastikan pelaksanaan vaksin kepada seluruh pegawai Kejaksaan, serta tindak lanjut dan pelaksanaan berbagai kebijakan yang telah diterbitkan baik dalam bentuk Surat Jaksa Agung, Surat Edaran, Instruksi, Keputusan, Peraturan Kejaksaan maupun Pedoman harus diperhatikan.",,,,,
BPOM menilai dokumen CPOB dan hasil uji klinis fase I vaksin Nusantara gagasan Terawan belum sesuai kaidah penelitian. Baca selengkapnya di #CNNIndonesia https://t.co/KQSTGAGZLk,Tidak Percaya,,,,
@vaksin_covid19 Pagi cantik🤗,,,,,
"Nk ckp pasal agama x boleh.. Nak betulkan fakta x boleh.. Sbb bukan ahli.. Hny ahli agama je boleh.. Yg kau tu dok sibuk ckp pasal covid, vaksin, pebende tu boleh lak.. Kau bkn ahli pon.. Kau tu operator pengeluaran je.. Kau hujah je la pasal brg yg kilang kau keluarkan 😡",,,,,
Kontrak Berjangka S&amp;P 500 Pangkas Kenaikan awal Sesi Asia Di Tengah Kegelisahan Vaksin dan Risiko Geopolitik https://t.co/4GH0ciYY8U #SP500 #SeleraRisiko #Tiongkok #VirusCorona #KontrakBerjangka,,,,,
@yessunshiine @rangga_weh Vaksin BUMN untuk lansia dari 60 tahun ke atas.,,,,,
Makanya gw against what they call vaksin nusantara.. akal2an biar dapet kue gede vaksin doang https://t.co/0qfRSI9hUk,Tidak Percaya,,,,
"Yang tanya perlu ke athlete kena vaksin tu aku tertanya la jugak dia main  badminton, volley, futsal online ke? Lain lah kau kerja mengangkang je main pubg kat rumah pastu claim diri e-sport pala tok hang la tak membantu langsung",,,,,
"Mengupas Lebih Dalam Vaksin Nusantara, Bersifat Personal Dan Berbiaya Supermahal https://t.co/NsXaeZlpkL https://t.co/awehFFIqVd",,,,,
Ke bandung cuma buat vaksin doang,Percaya,,,,
@makLambeTurah pasti si juru vaksin alias Pandu,,,,,
@KompasTV @BossTemlen vaksin nusantara kok 100% teknologi avita USA..nusantara cabang UD ya..mwkwkwkwk,Tidak Percaya,,,,
Hore dah vaksin kedua.,Percaya,,,,
Vaksin Intramuscular tujuannya untuk memaksimalkan khasiat vaksin Corona yang diterima seseorang. Tujuannya tentu adalah untuk meningkatkan efek karena itu yang paling optimal. Itu merupakan faktor yang penting dari kesuksesan vaksinasi atau cara pemberian obat,,,,,
@kompascom Dan impornya dari Amerika pula. Udah tau Amerika bermasalah soal vaksin,Tidak Percaya,,,,
Inilah Kesalahan Uji Klinis Vaksin Fase 1 Buatan Terawan yang Menyebabkan BPOM Belum Mengizinkan Untuk Fase Tahap 2 https://t.co/xx06uzyXtD,Tidak Percaya,,,,
"1.250 lansia sudah mendapatkan suntikan vaksin Sinovac. Pelaksanaan vaksinasi Covid-19 sudah masuk pada tahap kedua untuk vaksinasi bagi lansia dan petugas pelayanan publik.

#papuanlivesmatter 
https://t.co/gJyiuD8mv4",Percaya,,,,
@Binbin38306852 @detikcom @DivHumas_Polri @CCICPolri Awal mulanya kan ini ‘project’ balitbangkes Kemenkes... https://t.co/gfz0mGH6JJ,,,,,
"Lagi-lagi negara ini cuma dibuat mainan oleh pejabat yang berkepentingan...

Bikin vaksin? Mimpi.
Sillicon valley? Jualan resort.
Prokes? Senjata pidana.

Mau dibawa kemana lagi bangsa ini??? https://t.co/jLsfLeFZUV",Tidak Percaya,,,,
"Vaksin itu bukan di Nusantarakan, tapi di uji Klinis kan.

Gimana pemikiran anggota @DPR_RI  Komisi IX ini.

Adeeeuuuuhhhhh. Gkgkgkgkgk
 https://t.co/kHPXvUW2jn",Tidak Percaya,,,,
"denger simbah simbah ngomong ""yo gapapa divaksin ben ga keno corona ben sehat"" jd inget ada banyak orang yg masih ga percaya vaksin pake alasan elit global apalah wkwkw kalo emang takdirnya meninggal u keselek yupi juga bisa meninggal",,,,,
"@rizatanjung_ Diliatin gak proses disuntiknya sih? 🤣
Sales vaksin...sales property...",,,,,
Perusahaan bioteknologi AS di balik Vaksin Nusantara -&gt; https://t.co/GBNXQTnktG,,,,,
"@LuqmanBeeNKRI Pak @LuqmanBeeNKRI, saya ingatkan anda sbg anggota @DPR_RI utk berbicara sesuai data. Vaksin Nusantara jelas adalah produk AIVITA yg berasal dari US. Sebagian besar penelitinya berasal dari US. Mitra lokal tidak punya pengalaman sama sekali dlm pengembangan vaksin.",,,,,
"Daftar Tokoh hingga Anggota DPR yang Ikut Vaksin Nusantara Terawan

https://t.co/To4GJeIB8B",,,,,
"@drpriono1 @BPOM_RI Ketika BPOM dan IDI mencak2 soal vaksin nusantara, entah knp saya kok malah seprti lbh yakin ke vaksin nusantara ya. *pendapat pribadi lo ini ya*",,,,,
@leksa @DivHumas_Polri Hah? Cloudest bikin vaksin?,,,,,
"@TirtoID Ini kacau benar. Phase I saja belum lewat, vaksin sudah diberikan ke mereka yang “berminat”. Kalau misalnya diberikan dalam rangkaian penelitian, peserta vaksinasi haruslah sesuai dengan kriteria yang sudah ditetapkan peneliti.",Tidak Percaya,,,,
Apa ini? Oohhh gua lagi vaksin https://t.co/szhSUBRY7g,Percaya,,,,
Habis vaksin malah ga karu2an,,,,,
"Pengembangan vaksin sendiri tentu amatlah bagus. Namun, vaksin haruslah diuji secara keilmuan. Apalagi hanya bercermin nasionalisme.... https://t.co/LJ3NpMRAN6",,,,,
